
end_station_name,Number_trips
Embarcadero at Sansome,17921
Harry Bridges Plaza (Ferry Building),11200
Market at 4th,5759
Powell Street BART,5225
Embarcadero at Vallejo,5212
Steuart at Market,5192
Powell at Post (Union Square),5036
San Francisco Caltrain (Townsend at 4th),4882
2nd at Townsend,4588
Grant Avenue at Columbus Avenue,4438
Market at 10th,3715
Market at Sansome,3253
South Van Ness at Market,3071
Embarcadero at Bryant,2761
Civic Center BART (7th at Market),2674
Yerba Buena Center of the Arts (3rd @ Howard),2587
San Francisco Caltrain 2 (330 Townsend),2446
5th at Howard,2339
Townsend at 7th,2242
Mechanics Plaza (Market at Battery),2155
