
start_station_name,Number_trips
Embarcadero at Sansome,13934
Harry Bridges Plaza (Ferry Building),12441
Market at 4th,5952
Powell Street BART,5214
Embarcadero at Vallejo,4945
Powell at Post (Union Square),4932
Steuart at Market,4469
2nd at Townsend,4436
San Francisco Caltrain (Townsend at 4th),4299
Market at Sansome,3874
Market at 10th,3649
Grant Avenue at Columbus Avenue,3599
Embarcadero at Bryant,3536
Civic Center BART (7th at Market),2900
Yerba Buena Center of the Arts (3rd @ Howard),2894
Mechanics Plaza (Market at Battery),2493
5th at Howard,2411
San Francisco Caltrain 2 (330 Townsend),2406
Embarcadero at Folsom,2277
Clay at Battery,2214
