
Usage,name,station_id
58.2,Harry Bridges Plaza (Ferry Building),50
58.07,San Francisco Caltrain (Townsend at 4th),70
56.75,California Ave Caltrain Station,36
55.67,Embarcadero at Bryant,54
54.77,San Jose Civic Center,3
54.64,San Francisco Caltrain 2 (330 Townsend),69
54.44,University and Emerson,35
54.26,Steuart at Market,74
54.23,Paseo de San Antonio,7
53.72,5th St at Folsom St,90
52.85,Powell Street BART,39
51.79,Japantown,9
51.51,Grant Avenue at Columbus Avenue,73
50.91,Middlefield Light Rail Station,30
50.79,2nd at Townsend,61
50.67,Townsend at 7th,65
50.29,Mountain View Caltrain Station,28
50.26,Temporary Transbay Terminal (Howard at Beale),55
49.92,San Pedro Square,6
49.76,Washington at Kearney,46
49.73,Civic Center BART (7th at Market),72
49.37,Park at Olive,38
49.34,SJSU 4th at San Carlos,12
49.26,San Salvador at 1st,8
49.2,Embarcadero at Sansome,60
48.72,Santa Clara at Almaden,4
48.71,San Antonio Shopping Center,31
48.4,5th at Howard,57
48.34,Redwood City Public Library,24
48.33,MLK Library,11
48.19,Market at Sansome,77
48.0,Ryland Park,84
47.95,Redwood City Medical Center,26
47.74,2nd at South Park,64
47.16,5th S. at E. San Salvador St,88
47.16,SJSU - San Salvador at 9th,16
47.11,San Jose Diridon Caltrain Station,2
47.06,San Mateo County Center,23
46.43,Cowper at University,37
45.9,Powell at Post (Union Square),71
45.84,Yerba Buena Center of the Arts (3rd @ Howard),68
45.68,Mountain View City Hall,27
45.26,Charleston Park/ North Bayshore Area,33
44.86,Market at 4th,76
44.74,Stanford in Redwood City,25
44.59,South Van Ness at Market,66
44.57,San Antonio Caltrain Station,29
44.34,Davis at Jackson,42
44.2,Spear at Folsom,49
43.95,Palo Alto Caltrain Station,34
43.67,St James Park,13
43.63,Redwood City Caltrain Station,22
43.41,Arena Green / SAP Center,14
42.7,Franklin at Maple,21
42.56,Santa Clara County Civic Center,80
42.52,Mezes Park,83
42.14,San Francisco City Hall,58
42.01,Castro Street and El Camino Real,32
41.42,San Jose City Hall,10
41.27,Embarcadero at Vallejo,48
40.57,Howard at 2nd,63
40.33,Adobe on Almaden,5
40.2,Broadway St at Battery St,82
40.12,Beale at Market,56
40.11,Clay at Battery,41
39.82,Embarcadero at Folsom,51
38.88,Mechanics Plaza (Market at Battery),75
38.04,Post at Kearney,47
37.36,Market at 10th,67
36.96,Golden Gate at Polk,59
36.91,Commercial at Montgomery,45
31.73,2nd at Folsom,62
30.16,S. Market st at Park Ave,89
14.7,Cyril Magnin St at Ellis St,91
