
latitude,longitude,landmark
37.7979,-122.405942,San Francisco
37.7766,-122.39547,San Francisco
37.789625,-122.400811,San Francisco
37.776619,-122.417385,San Francisco
37.782259,-122.392738,San Francisco
37.80477,-122.403234,San Francisco
37.794139,-122.394434,San Francisco
37.787152,-122.388013,San Francisco
37.791464,-122.391034,San Francisco
37.792251,-122.397086,San Francisco
37.781752,-122.405127,San Francisco
37.780526,-122.390288,San Francisco
37.795392,-122.394203,San Francisco
37.789756,-122.394643,San Francisco
37.776617,-122.39526,San Francisco
37.786978,-122.398108,San Francisco
37.785299,-122.396236,San Francisco
37.786305,-122.404966,San Francisco
37.783871,-122.408433,San Francisco
37.771058,-122.402717,San Francisco
