
start_station_name,Number_trips
San Francisco Caltrain (Townsend at 4th),68384
San Francisco Caltrain 2 (330 Townsend),53694
Temporary Transbay Terminal (Howard at Beale),37888
Harry Bridges Plaza (Ferry Building),36621
2nd at Townsend,35500
Steuart at Market,34062
Townsend at 7th,32788
Market at Sansome,31268
Embarcadero at Sansome,27203
Market at 10th,26560
2nd at South Park,24290
2nd at Folsom,21822
Market at 4th,21550
Beale at Market,21020
Powell Street BART,19990
Embarcadero at Folsom,19597
Grant Avenue at Columbus Avenue,19442
Howard at 2nd,19038
Embarcadero at Bryant,18989
5th at Howard,16551
