start_station_name,end_station_name,start_date,end_date,duration_sec,bike_number,subscriber_type,trip
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2013-11-14 16:06:00.000000 UTC,2013-11-14 16:07:00.000000 UTC,80,82,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-05-24 19:14:00.000000 UTC,2014-05-24 20:20:00.000000 UTC,3961,149,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-01-24 14:57:00.000000 UTC,2016-01-24 15:53:00.000000 UTC,3359,712,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2013-12-20 20:38:00.000000 UTC,2013-12-20 20:46:00.000000 UTC,482,696,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-08-19 13:29:00.000000 UTC,2016-08-19 13:39:00.000000 UTC,631,102,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2013-09-14 07:13:00.000000 UTC,2013-09-14 07:23:00.000000 UTC,616,88,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-01-05 14:04:00.000000 UTC,2014-01-05 15:12:00.000000 UTC,4100,202,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-01-24 14:59:00.000000 UTC,2016-01-24 15:53:00.000000 UTC,3247,116,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-01-24 15:03:00.000000 UTC,2016-01-24 15:55:00.000000 UTC,3128,99,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2013-11-03 17:03:00.000000 UTC,2013-11-03 18:05:00.000000 UTC,3743,45,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-05-07 14:35:00.000000 UTC,2016-05-07 14:46:00.000000 UTC,651,71,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-05-17 18:26:00.000000 UTC,2014-05-18 10:52:00.000000 UTC,59166,25,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-07-25 13:40:00.000000 UTC,2016-07-25 14:17:00.000000 UTC,2174,152,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2013-09-03 12:04:00.000000 UTC,2013-09-03 13:02:00.000000 UTC,3471,654,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-01-16 10:17:00.000000 UTC,2014-01-16 11:18:00.000000 UTC,3670,487,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2013-12-13 05:23:00.000000 UTC,2013-12-13 05:35:00.000000 UTC,707,649,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-04-12 13:56:00.000000 UTC,2014-04-12 14:24:00.000000 UTC,1690,98,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-06-17 20:08:00.000000 UTC,2016-06-17 21:32:00.000000 UTC,5018,153,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2015-04-08 15:44:00.000000 UTC,2015-04-08 16:44:00.000000 UTC,3581,126,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2015-05-23 14:46:00.000000 UTC,2015-05-23 15:34:00.000000 UTC,2876,143,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2013-10-20 11:45:00.000000 UTC,2013-10-20 13:06:00.000000 UTC,4829,45,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-05-24 19:14:00.000000 UTC,2014-05-24 20:21:00.000000 UTC,3995,299,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-06-11 08:19:00.000000 UTC,2016-06-11 08:45:00.000000 UTC,1540,124,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-10-05 09:56:00.000000 UTC,2014-10-05 11:15:00.000000 UTC,4791,186,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-02-21 16:15:00.000000 UTC,2016-02-21 16:28:00.000000 UTC,787,60,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-01-03 10:09:00.000000 UTC,2014-01-03 16:14:00.000000 UTC,21939,208,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-02-23 13:32:00.000000 UTC,2014-02-23 21:54:00.000000 UTC,30128,37,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2015-04-04 12:49:00.000000 UTC,2015-04-04 21:59:00.000000 UTC,32980,126,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-08-16 13:12:00.000000 UTC,2016-08-16 16:56:00.000000 UTC,13443,102,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2013-10-20 12:01:00.000000 UTC,2013-10-20 13:42:00.000000 UTC,6106,646,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-04-06 15:03:00.000000 UTC,2014-04-06 16:19:00.000000 UTC,4578,168,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-02-23 13:31:00.000000 UTC,2014-02-23 21:55:00.000000 UTC,30187,193,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2015-07-04 20:31:00.000000 UTC,2015-07-05 19:39:00.000000 UTC,83305,174,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2015-06-04 09:22:00.000000 UTC,2015-06-05 17:28:00.000000 UTC,115572,190,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-04-16 16:27:00.000000 UTC,2016-04-16 17:45:00.000000 UTC,4687,183,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2015-08-30 15:34:00.000000 UTC,2015-08-30 17:14:00.000000 UTC,6028,213,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-02-04 12:29:00.000000 UTC,2014-02-04 12:59:00.000000 UTC,1793,208,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-01-25 13:20:00.000000 UTC,2016-01-25 15:04:00.000000 UTC,6233,99,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-02-28 10:30:00.000000 UTC,2016-02-28 10:57:00.000000 UTC,1646,28,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-01-24 14:58:00.000000 UTC,2016-01-24 15:54:00.000000 UTC,3361,643,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-05-24 12:36:00.000000 UTC,2014-05-24 12:50:00.000000 UTC,792,199,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2014-05-24 12:36:00.000000 UTC,2014-05-24 12:46:00.000000 UTC,586,702,Customer,2_2
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,2016-02-27 14:38:00.000000 UTC,2016-02-27 14:59:00.000000 UTC,1244,150,Customer,2_2
