property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage
https://www.realtor.com/realestateandhomes-detail/1434660177,SDCA,230022788,FOR_SALE,CONDOS,4170  Mount Alifan Pl,Unit C,San Diego,CA,92111,2,1,,863,1973,,479900,2023-11-21,292000,2019-08-05,,556,32.816513,-117.179159,1,495,
https://www.realtor.com/realestateandhomes-detail/2541719986,MRCA,PTP2305754,FOR_SALE,SINGLE_FAMILY,1355  Willow St,,San Diego,CA,92106,5,6,,4662,1948,,1999000,2023-11-21,1275000,2019-08-16,5184,429,32.726266,-117.232052,2,0,2
https://www.realtor.com/realestateandhomes-detail/1661951577,SDCA,230022781,FOR_SALE,CONDOS,2817  Via Alta Pl,,San Diego,CA,92108,4,4,,2188,2018,,1759000,2023-11-21,1020000,2018-12-12,296208,804,32.78317,-117.145065,3,289,2
https://www.realtor.com/realestateandhomes-detail/9146572312,SDCA,230022771,FOR_SALE,LAND,1950  Kearney Ave,Unit 538-290,San Diego,CA,92113,,,,,,0,1495000,2023-11-20,,,4925,,32.701912,-117.142532,,0,
https://www.realtor.com/realestateandhomes-detail/1977585186,SDCA,230022770,FOR_SALE,CONDOS,1621  Hotel Cir,Unit E208,San Diego,CA,92108,1,1,,700,1972,0,429900,2023-11-20,,,,614,32.757867,-117.178492,1,429,1
https://www.realtor.com/realestateandhomes-detail/1297942103,SDCA,230022768,FOR_SALE,CONDOS,1050  Island Ave,Unit 407,San Diego,CA,92101,2,2,,1172,2005,0,899000,2023-11-20,535000,2013-03-27,,767,32.710841,-117.155108,1,536,2
https://www.realtor.com/realestateandhomes-detail/1258576091,SDCA,230022764,FOR_SALE,TOWNHOMES,2483  Tosca Way,,San Diego,CA,92111,2,1,,792,1972,0,500000,2023-11-20,55900,1979-08-02,,631,32.789086,-117.180646,1,340,
https://www.realtor.com/realestateandhomes-detail/1344100389,SDCA,230022762,FOR_SALE,CONDOS,721  9th Ave,Unit 4,San Diego,CA,92101,2,2,,1010,1999,0,774900,2023-11-20,615000,2021-07-30,,767,32.71283,-117.156027,2,305,1
https://www.realtor.com/realestateandhomes-detail/2533726214,SDCA,230022760,FOR_SALE,CONDOS,3605  Ash St,Unit 13,San Diego,CA,92105,2,2,,824,1987,0,450000,2023-11-20,290000,2017-05-10,300564,546,32.718867,-117.115441,1,534,
https://www.realtor.com/realestateandhomes-detail/1408049818,SDCA,230022756,FOR_SALE,SINGLE_FAMILY,17256  Tablero Pl,,San Diego,CA,92127,5,3,,2160,1971,0,875000,2023-11-20,,,8600,405,33.028583,-117.090173,2,47,2
https://www.realtor.com/realestateandhomes-detail/2734775789,MRCA,PTP2305740,FOR_SALE,MULTI_FAMILY,2946-56  Vancouver Ave,,San Diego,CA,92104,,,,2065,1951,0,1700000,2023-11-20,,,6417,823,32.736484,-117.11672,,0,3
https://www.realtor.com/realestateandhomes-detail/2229245245,SDCA,230022753,FOR_SALE,SINGLE_FAMILY,5878  Parkmead Ct,,San Diego,CA,92114,4,2,,1289,1987,0,669000,2023-11-20,94000,1987-03-26,,519,32.699505,-117.070952,1,0,2
https://www.realtor.com/realestateandhomes-detail/1563976819,SDCA,230022751,FOR_SALE,CONDOS,8850  Villa La Jolla Dr,Unit 101,La Jolla,CA,92037,2,2,,1426,1981,0,999000,2023-11-20,419000,2003-07-25,,701,32.86932,-117.235414,1,663,2
https://www.realtor.com/realestateandhomes-detail/1461861839,SDCA,230022747,FOR_SALE,CONDOS,17452  Plaza Animado,Unit 120,San Diego,CA,92128,2,2,,1431,1973,0,595000,2023-11-20,345000,2016-06-08,298822,416,33.028236,-117.053381,1,450,
https://www.realtor.com/realestateandhomes-detail/1966023176,SDCA,230022746,FOR_SALE,CONDOS,700 W E St,Unit 3404,San Diego,CA,92101,2,2,,993,2007,0,950000,2023-11-20,825000,2021-12-15,,957,32.715121,-117.16958,1,1415,1
https://www.realtor.com/realestateandhomes-detail/2884612333,SDCA,230022745,FOR_SALE,TOWNHOMES,7854  Hummingbird Ln,,San Diego,CA,92123,4,2,1,1454,1975,0,785000,2023-11-20,220000,2001-06-05,,540,32.791979,-117.155,3,410,2
https://www.realtor.com/realestateandhomes-detail/1465531540,MRCA,PTP2305662,FOR_SALE,SINGLE_FAMILY,4233  Lemonseed Dr,,San Diego,CA,92154,5,4,1,2731,1971,0,895000,2023-11-20,54000,1977-08-09,6300,328,32.584,-117.042265,2,0,2
https://www.realtor.com/realestateandhomes-detail/1126481502,SDCA,230022741,FOR_SALE,CONDOS,4050  46th St,Unit 18,San Diego,CA,92105,1,1,,540,1978,1,350000,2023-11-19,220000,2019-08-30,,648,32.750505,-117.095793,1,300,
