
end_station_name,Number_trips
San Francisco Caltrain (Townsend at 4th),87132
San Francisco Caltrain 2 (330 Townsend),56267
2nd at Townsend,39557
Harry Bridges Plaza (Ferry Building),38985
Market at Sansome,37703
Townsend at 7th,36303
Temporary Transbay Terminal (Howard at Beale),34439
Steuart at Market,34406
Embarcadero at Sansome,28276
Market at 10th,22195
2nd at South Park,22103
Powell Street BART,21521
Market at 4th,21003
Howard at 2nd,20171
Embarcadero at Folsom,19538
5th at Howard,18823
Embarcadero at Bryant,16693
Beale at Market,16377
Civic Center BART (7th at Market),16325
Mechanics Plaza (Market at Battery),15569
