GEOID	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                       
00601	18570	7744	166659789	799296	      64.348	       0.309	 18.180555	 -66.749961                                                                                                                      
00602	41520	18073	79288158	4446273	      30.613	       1.717	 18.362268	 -67.176130                                                                                                                     
00603	54689	25653	81880442	183425	      31.614	       0.071	 18.455183	 -67.119887                                                                                                                      
00606	6615	2877	109580061	12487	      42.309	       0.005	 18.158345	 -66.932911                                                                                                                        
00610	29016	12618	93021467	4172001	      35.916	       1.611	 18.290955	 -67.125868                                                                                                                     
00612	67010	30992	175106243	9809163	      67.609	       3.787	 18.402239	 -66.711400                                                                                                                    
00616	11017	4896	29870473	149147	      11.533	       0.058	 18.420412	 -66.671979                                                                                                                       
00617	24597	10594	39347158	3987969	      15.192	       1.540	 18.445147	 -66.559696                                                                                                                     
00622	7853	8714	75077028	1694917	      28.987	       0.654	 17.991245	 -67.153993                                                                                                                       
00623	43061	21426	98367847	1633540	      37.980	       0.631	 18.083435	 -67.153877                                                                                                                     
00624	26241	9905	111791516	2524878	      43.163	       0.975	 18.063275	 -66.715966                                                                                                                     
00627	35159	14431	120058334	3507026	      46.355	       1.354	 18.415030	 -66.861879                                                                                                                    
00631	1852	842	10414662	669970	       4.021	       0.259	 18.190607	 -66.832041                                                                                                                         
00637	25287	10962	89226022	25323	      34.450	       0.010	 18.076713	 -66.947389                                                                                                                       
00638	18941	7805	171055117	493335	      66.045	       0.190	 18.291088	 -66.513306                                                                                                                      
00641	31191	13358	242237480	3466212	      93.528	       1.338	 18.262962	 -66.714020                                                                                                                    
00646	38199	16699	53611823	3321248	      20.700	       1.282	 18.433167	 -66.285941                                                                                                                     
00647	6172	3482	39379804	8013314	      15.205	       3.094	 17.963613	 -66.947127                                                                                                                       
00650	14998	6124	79052810	557181	      30.522	       0.215	 18.349416	 -66.578079                                                                                                                       
00652	4715	1947	17906137	16436	       6.914	       0.006	 18.451934	 -66.603113                                                                                                                         
00653	13307	6217	39477273	5203941	      15.242	       2.009	 17.985452	 -66.888933                                                                                                                      
00656	21481	8680	83968290	4356121	      32.420	       1.682	 18.053539	 -66.792931                                                                                                                      
00659	41953	17365	108211415	3039180	      41.781	       1.173	 18.407222	 -66.809008                                                                                                                    
00660	17250	7783	29380814	486	      11.344	       0.000	 18.134644	 -67.116158                                                                                                                          
00662	43282	20199	114907988	5341043	      44.366	       2.062	 18.467481	 -67.015974                                                                                                                    
00664	16784	6590	117897373	3405	      45.520	       0.001	 18.213419	 -66.589613                                                                                                                        
00667	25968	12508	156201164	28264208	      60.310	      10.913	 18.003422	 -67.035810                                                                                                                   
00669	29744	12458	159419203	168344	      61.552	       0.065	 18.270899	 -66.866375                                                                                                                     
00670	9807	3973	118025360	357819	      45.570	       0.138	 18.236832	 -66.990114                                                                                                                       
00674	44457	19409	116400264	6903390	      44.942	       2.665	 18.422908	 -66.489337                                                                                                                    
00676	40316	16887	130636635	56483	      50.439	       0.022	 18.377751	 -67.080344                                                                                                                      
00677	15272	9730	37137111	3594951	      14.339	       1.388	 18.332560	 -67.227006                                                                                                                      
00678	27819	11619	68274095	3796687	      26.361	       1.466	 18.434099	 -66.927384                                                                                                                     
00680	58140	27992	166248984	19828643	      64.189	       7.656	 18.181938	 -67.133802                                                                                                                   
00682	32615	15489	37348163	6330100	      14.420	       2.444	 18.221443	 -67.156062                                                                                                                     
00683	33772	15219	135168308	29361	      52.189	       0.011	 18.107800	 -67.037263                                                                                                                      
00685	42831	18877	200808224	2058239	      77.532	       0.795	 18.332927	 -66.959875                                                                                                                    
00687	32610	12381	100675764	140026	      38.871	       0.054	 18.318386	 -66.418034                                                                                                                     
00688	13543	5353	82401202	77467	      31.815	       0.030	 18.382264	 -66.626438                                                                                                                        
00690	6255	2773	7291346	12393	       2.815	       0.005	 18.495510	 -67.098671                                                                                                                          
00692	37511	16026	69307906	1999296	      26.760	       0.772	 18.410188	 -66.336556                                                                                                                     
00693	61038	25884	101838924	3653903	      39.320	       1.411	 18.423024	 -66.397230                                                                                                                    
00694	328	188	2043548	1957116	       0.789	       0.756	 18.482370	 -66.391079                                                                                                                          
