direction,url,philosopher,connection
Influences,https://en.wikipedia.org/wiki/Immanuel_Kant,Immanuel Kant,György Lukács
Influences,https://en.wikipedia.org/wiki/G._W._F._Hegel,G W F Hegel,György Lukács
Influences,https://en.wikipedia.org/wiki/Karl_Marx,Karl Marx,György Lukács
Influences,https://en.wikipedia.org/wiki/Friedrich_Engels,Friedrich Engels,György Lukács
Influences,https://en.wikipedia.org/wiki/Max_Weber,Max Weber,György Lukács
Influences,https://en.wikipedia.org/wiki/Georg_Simmel,Georg Simmel,György Lukács
Influences,https://en.wikipedia.org/wiki/Wilhelm_Dilthey,Wilhelm Dilthey,György Lukács
Influences,https://en.wikipedia.org/wiki/Emil_Lask,Emil Lask,György Lukács
Influences,https://en.wikipedia.org/wiki/Georges_Sorel,Georges Sorel,György Lukács
Influences,https://en.wikipedia.org/wiki/Vladimir_Lenin,Vladimir Lenin,György Lukács
Influences,https://en.wikipedia.org/wiki/Rosa_Luxemburg,Rosa Luxemburg,György Lukács
Influences,https://en.wikipedia.org/wiki/S%C3%B8ren_Kierkegaard,Sren Kierkegaard,György Lukács
Influenced,https://en.wikipedia.org/wiki/The_Frankfurt_School,The Frankfurt School,György Lukács
Influenced,https://en.wikipedia.org/wiki/The_Praxis_School,The Praxis School,György Lukács
Influenced,https://en.wikipedia.org/wiki/Budapest_School_(Luk%C3%A1cs),Budapest School Lukcs,György Lukács
Influenced,https://en.wikipedia.org/wiki/Walter_Benjamin,Walter Benjamin,György Lukács
Influenced,https://en.wikipedia.org/wiki/Andrew_Arato,Andrew Arato,György Lukács
Influenced,https://en.wikipedia.org/wiki/Lucien_Goldmann,Lucien Goldmann,György Lukács
Influenced,https://en.wikipedia.org/wiki/Jean-Paul_Sartre,JeanPaul Sartre,György Lukács
Influenced,https://en.wikipedia.org/wiki/Imre_Lakatos,Imre Lakatos,György Lukács
Influenced,https://en.wikipedia.org/wiki/Karl_Polanyi,Karl Polanyi,György Lukács
Influenced,https://en.wikipedia.org/wiki/Guy_Debord,Guy Debord,György Lukács
Influenced,https://en.wikipedia.org/wiki/Cornelius_Castoriadis,Cornelius Castoriadis,György Lukács
Influenced,https://en.wikipedia.org/wiki/Tom_Rockmore,Tom Rockmore,György Lukács
Influenced,https://en.wikipedia.org/wiki/Moishe_Postone,Moishe Postone,György Lukács
Influenced,https://en.wikipedia.org/wiki/Sandra_Harding,Sandra Harding,György Lukács
Influenced,https://en.wikipedia.org/wiki/Richard_D._Wolff,Richard D Wolff,György Lukács
Influenced,https://en.wikipedia.org/wiki/Costanzo_Preve,Costanzo Preve,György Lukács
Influenced,https://en.wikipedia.org/wiki/Leszek_Ko%C5%82akowski,Leszek Koakowski,György Lukács
Influenced,https://en.wikipedia.org/wiki/Karel_Kos%C3%ADk,Karel Kosk,György Lukács
Influenced,https://en.wikipedia.org/wiki/Fredric_Jameson,Fredric Jameson,György Lukács
Influences,https://en.wikipedia.org/wiki/Aristotle,Aristotle,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Jakob_B%C3%B6hme,Jakob Bhme,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Denis_Diderot,Denis Diderot,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Adam_Ferguson,Adam Ferguson,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Johann_Gottlieb_Fichte,Johann Gottlieb Fichte,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Johann Wolfgang von Goethe,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Heraclitus,Heraclitus,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Johann_Gottfried_Herder,Johann Gottfried Herder,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Immanuel_Kant,Immanuel Kant,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Martin_Luther,Martin Luther,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Plato,Plato,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Jean-Jacques_Rousseau,JeanJacques Rousseau,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Baruch_Spinoza,Baruch Spinoza,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Joseph_Schelling,Friedrich Wilhelm Joseph Schelling,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Friedrich_Schiller,Friedrich Schiller,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Adam_Smith,Adam Smith,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Theodor_W._Adorno,Theodor W Adorno,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Alain_Badiou,Alain Badiou,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Mikhail_Bakunin,Mikhail Bakunin,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Karl_Barth,Karl Barth,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Bruno_Bauer,Bruno Bauer,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Johann_Kaspar_Bluntschli,Johann Kaspar Bluntschli,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Bernard_Bosanquet_(philosopher),Bernard Bosanquet philosopher,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/F._H._Bradley,F H Bradley,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Robert_Brandom,Robert Brandom,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Simone_de_Beauvoir,Simone de Beauvoir,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Gustavo_Bueno,Gustavo Bueno,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Sergei_Bulgakov,Sergei Bulgakov,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Judith_Butler,Judith Butler,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Heinrich_Moritz_Chalyb%C3%A4us,Heinrich Moritz Chalybus,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Boris_Chicherin,Boris Chicherin,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/R._G._Collingwood,R G Collingwood,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Victor_Cousin,Victor Cousin,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Benedetto_Croce,Benedetto Croce,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Jacques_Derrida,Jacques Derrida,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Raya_Dunayevskaya,Raya Dunayevskaya,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Friedrich_Engels,Friedrich Engels,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Ludwig_Feuerbach,Ludwig Feuerbach,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Kuno_Fischer,Kuno Fischer,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Francis_Fukuyama,Francis Fukuyama,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Giovanni_Gentile,Giovanni Gentile,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Thomas_Hill_Green,Thomas Hill Green,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Jean_Hyppolite,Jean Hyppolite,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Walter_Kaufmann_(philosopher),Walter Kaufmann philosopher,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/S%C3%B8ren_Kierkegaard,Sren Kierkegaard,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Alexandre_Koj%C3%A8ve,Alexandre Kojve,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Hans_K%C3%BCng,Hans Kng,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Vladimir_Ilyich_Lenin,Vladimir Ilyich Lenin,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Gy%C3%B6rgy_Luk%C3%A1cs,Gyrgy Lukcs,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Herbert_Marcuse,Herbert Marcuse,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Karl_Marx,Karl Marx,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/John_McDowell,John McDowell,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Friedrich_Nietzsche,Friedrich Nietzsche,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Robert_B._Pippin,Robert B Pippin,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Pierre-Joseph_Proudhon,PierreJoseph Proudhon,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Gillian_Rose,Gillian Rose,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Johann_Karl_Friedrich_Rosenkranz,Johann Karl Friedrich Rosenkranz,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/John_Russon,John Russon,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Jean-Paul_Sartre,JeanPaul Sartre,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Peter_Singer,Peter Singer,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Lorenz_von_Stein,Lorenz von Stein,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Max_Stirner,Max Stirner,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/David_Strauss,David Strauss,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Leo_Strauss,Leo Strauss,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Charles_Taylor_(philosopher),Charles Taylor philosopher,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek,Slavoj iek,G W F Hegel
Influenced,https://en.wikipedia.org/wiki/Xavier_Zubiri,Xavier Zubiri,G W F Hegel
Influences,https://en.wikipedia.org/wiki/Plato,Plato,Aristotle
Influences,https://en.wikipedia.org/wiki/Socrates,Socrates,Aristotle
Influences,https://en.wikipedia.org/wiki/Heraclitus,Heraclitus,Aristotle
Influences,https://en.wikipedia.org/wiki/Parmenides,Parmenides,Aristotle
Influences,https://en.wikipedia.org/wiki/Empedocles,Empedocles,Aristotle
Influences,https://en.wikipedia.org/wiki/Phaleas_of_Chalcedon,Phaleas of Chalcedon,Aristotle
Influences,https://en.wikipedia.org/wiki/Hippodamus_of_Miletus,Hippodamus of Miletus,Aristotle
Influences,https://en.wikipedia.org/wiki/Hippias,Hippias,Aristotle
Influenced,https://en.wikipedia.org/wiki/Western_philosophy,Western philosophy,Aristotle
Influenced,https://en.wikipedia.org/wiki/Aristotelianism,Aristotelianism,Aristotle
Influenced,https://en.wikipedia.org/wiki/Averroes,Averroes,Aristotle
Influenced,https://en.wikipedia.org/wiki/Thomas_Aquinas,Thomas Aquinas,Aristotle
Influenced,https://en.wikipedia.org/wiki/Age_of_Enlightenment,Age of Enlightenment,Aristotle
Influenced,https://en.wikipedia.org/wiki/List_of_writers_influenced_by_Aristotle,List of writers influenced by Aristotle,Aristotle
Influences,https://en.wikipedia.org/wiki/Aristotle,Aristotle,Denis Diderot
Influences,https://en.wikipedia.org/wiki/Baruch_Spinoza,Baruch Spinoza,Denis Diderot
Influences,https://en.wikipedia.org/wiki/John_Locke,John Locke,Denis Diderot
Influences,https://en.wikipedia.org/wiki/Voltaire,Voltaire,Denis Diderot
Influences,https://en.wikipedia.org/wiki/Jean-Jacques_Rousseau,JeanJacques Rousseau,Denis Diderot
Influences,https://en.wikipedia.org/wiki/Miguel_de_Cervantes,Miguel de Cervantes,Denis Diderot
Influences,https://en.wikipedia.org/wiki/Laurence_Sterne,Laurence Sterne,Denis Diderot
Influences,https://en.wikipedia.org/wiki/Niccol%C3%B2_Machiavelli,Niccol Machiavelli,Denis Diderot
Influences,https://en.wikipedia.org/wiki/Samuel_Richardson,Samuel Richardson,Denis Diderot
Influences,https://en.wikipedia.org/wiki/Isaac_Newton,Isaac Newton,Denis Diderot
Influences,https://en.wikipedia.org/wiki/Lucretius,Lucretius,Denis Diderot
Influences,https://en.wikipedia.org/wiki/Ren%C3%A9_Descartes,Ren Descartes,Denis Diderot
Influenced,https://en.wikipedia.org/wiki/Fran%C3%A7ois-No%C3%ABl_Babeuf,FranoisNol Babeuf,Denis Diderot
Influenced,https://en.wikipedia.org/wiki/%C3%89tienne_Bonnot_de_Condillac,tienne Bonnot de Condillac,Denis Diderot
Influenced,https://en.wikipedia.org/wiki/Baron_d%27Holbach,Baron dHolbach,Denis Diderot
Influenced,https://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Johann Wolfgang von Goethe,Denis Diderot
Influenced,https://en.wikipedia.org/wiki/Auguste_Comte,Auguste Comte,Denis Diderot
Influenced,https://en.wikipedia.org/wiki/Milan_Kundera,Milan Kundera,Denis Diderot
Influenced,https://en.wikipedia.org/wiki/G%C3%BCnter_Grass,Gnter Grass,Denis Diderot
Influenced,https://en.wikipedia.org/wiki/Jacques_Barzun,Jacques Barzun,Denis Diderot
Influenced,https://en.wikipedia.org/wiki/Karl_Marx,Karl Marx,Denis Diderot
Influences,"https://en.wikipedia.org/wiki/Charles_de_Secondat,_Baron_de_Montesquieu",Charles de Secondat Baron de Montesquieu,Adam Ferguson
Influenced,https://en.wikipedia.org/wiki/Karl_Marx,Karl Marx,Adam Ferguson
Influenced,https://en.wikipedia.org/wiki/Dugald_Stewart,Dugald Stewart,Adam Ferguson
Influences,https://en.wikipedia.org/wiki/Immanuel_Kant,Immanuel Kant,Johann Gottlieb Fichte
Influences,https://en.wikipedia.org/wiki/Salomon_Maimon,Salomon Maimon,Johann Gottlieb Fichte
Influences,https://en.wikipedia.org/wiki/Karl_Leonhard_Reinhold,Karl Leonhard Reinhold,Johann Gottlieb Fichte
Influences,https://en.wikipedia.org/wiki/Gottlob_Ernst_Schulze,Gottlob Ernst Schulze,Johann Gottlieb Fichte
