institution,org_name,region,location,city,state_province,country,website,sourcewatch_page_url,lat,lon
atlas,ACTON INSTITUTE,United States,"Grand Rapids, MI",Grand Rapids,MI,,https://web.archive.org/web/20210108014853/http://www.acton.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/acton-institute,42.9634,-85.6681
atlas,ADVOCATES FOR SELF GOVERNMENT,United States,"Sacramento, CA",Sacramento,CA,,https://web.archive.org/web/20210108014853/http://theadvocates.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/advocates-for-self-government,38.5816,-121.4944
atlas,ALABAMA POLICY INSTITUTE,United States,"Birmingham, AL",Birmingham,AL,,https://web.archive.org/web/20210108014853/http://www.alabamapolicy.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/alabama-policy-institute,33.5186,-86.8104
atlas,ALASKA POLICY FORUM,United States,"Anchorage, AK",Anchorage,AK,,https://web.archive.org/web/20210108014853/http://www.alaskapolicyforum.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/alaska-policy-forum,61.2181,-149.8631
atlas,AMERICA'S FUTURE FOUNDATION,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://americasfuture.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/americas-future-foundation,38.89511,-77.03637
atlas,"AMERICAN CONSUMER INSTITUTE, CENTER FOR CITIZEN RESEARCH",United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.theamericanconsumer.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/american-consumer-institute-center-for-citizen-research,38.89511,-77.03637
atlas,AMERICAN ENTERPRISE INSTITUTE,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.aei.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/american-enterprise-institute,38.89511,-77.03637
atlas,AMERICAN FEDERATION FOR CHILDREN,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.federationforchildren.com/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/american-federation-for-children,38.89511,-77.03637
atlas,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,United States,"Great Barrington, MA",Great Barrington,MA,,https://web.archive.org/web/20210108014853/http://www.aier.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/american-institute-for-economic-research,42.1954,-73.3644
atlas,AMERICAN JURIS LINK,United States,"Phoenix, AZ",Phoenix,AZ,,https://web.archive.org/web/20210108014853/http://www.americanjurislink.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/american-juris-link,33.4484,-112.074
