institution,org_name,region,location,city,state_province,country,website,sourcewatch_page_url
atlas,ACTON INSTITUTE,United States,"Grand Rapids, MI",Grand Rapids,MI,,https://web.archive.org/web/20210108014853/http://www.acton.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/acton-institute
atlas,ADVOCATES FOR SELF GOVERNMENT,United States,"Sacramento, CA",Sacramento,CA,,https://web.archive.org/web/20210108014853/http://theadvocates.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/advocates-for-self-government
atlas,ALABAMA POLICY INSTITUTE,United States,"Birmingham, AL",Birmingham,AL,,https://web.archive.org/web/20210108014853/http://www.alabamapolicy.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/alabama-policy-institute
atlas,ALASKA POLICY FORUM,United States,"Anchorage, AK",Anchorage,AK,,https://web.archive.org/web/20210108014853/http://www.alaskapolicyforum.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/alaska-policy-forum
atlas,AMERICA'S FUTURE FOUNDATION,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://americasfuture.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/americas-future-foundation
atlas,"AMERICAN CONSUMER INSTITUTE, CENTER FOR CITIZEN RESEARCH",United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.theamericanconsumer.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/american-consumer-institute-center-for-citizen-research
atlas,AMERICAN ENTERPRISE INSTITUTE,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.aei.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/american-enterprise-institute
atlas,AMERICAN FEDERATION FOR CHILDREN,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.federationforchildren.com/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/american-federation-for-children
atlas,AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,United States,"Great Barrington, MA",Great Barrington,MA,,https://web.archive.org/web/20210108014853/http://www.aier.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/american-institute-for-economic-research
atlas,AMERICAN JURIS LINK,United States,"Phoenix, AZ",Phoenix,AZ,,https://web.archive.org/web/20210108014853/http://www.americanjurislink.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/american-juris-link
atlas,AMERICAN LEGISLATIVE EXCHANGE COUNCIL,United States,"Arlington, VA",Arlington,VA,,https://web.archive.org/web/20210108014853/http://www.alec.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/american-legislative-exchange-council
atlas,AMERICANS FOR TAX REFORM FOUNDATION,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.atr.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/americans-for-tax-reform
atlas,ARCHBRIDGE INSTITUTE,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.archbridgeinstitute.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/archbridge-institute
atlas,ARIZONA CENTER FOR PHILOSOPHY OF FREEDOM,United States,"Tuscon, AZ",Tuscon,AZ,,https://web.archive.org/web/20210108014853/http://www.freedomcenter.arizona.edu/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/arizona-center-for-philosophy-of-freedom
atlas,ARKANSAS CENTER FOR RESEARCH IN ECONOMICS,United States,"Conway, AR",Conway,AR,,https://web.archive.org/web/20210108014853/http://uca.edu/acre/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/arkansas-center-for-research-in-economics
atlas,ARKANSAS POLICY FOUNDATION,United States,"Little Rock, AR",Little Rock,AR,,https://web.archive.org/web/20210108014853/http://www.arkansaspolicyfoundation.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/arkansas-policy-foundation
atlas,AYN RAND INSTITUTE,United States,"Santa Ana, CA",Santa Ana,CA,,https://web.archive.org/web/20210108014853/http://ari.aynrand.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/ayn-rand-institute
atlas,BADGER INSTITUTE,United States,"Milwaukee, WI",Milwaukee,WI,,https://web.archive.org/web/20210108014853/http://badgerinstitute.org/BI.htm,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/badger-institute
atlas,BALLOTPEDIA,United States,"Middleton, WI",Middleton,WI,,https://web.archive.org/web/20210108014853/http://www.ballotpdia.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/Ballotpedia
atlas,BEACON CENTER OF TENNESSEE,United States,"Nashville, TN",Nashville,TN,,https://web.archive.org/web/20210108014853/http://www.beacontn.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/beacon-center-of-tennessee
atlas,BECKET,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.becketfund.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/becket
atlas,BETTER CITIES PROJECT,United States,"Las Vegas, NV",Las Vegas,NV,,https://web.archive.org/web/20210108014853/http://www.better-cities.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/better-cities-project
atlas,BILL OF RIGHTS INSTITUTE,United States,"Arlington, VA",Arlington,VA,,https://web.archive.org/web/20210108014853/http://www.billofrightsinstitute.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/bill-of-rights-institute
atlas,BLACKSTONE & BURKE CENTER FOR LAW AND LIBERTY,United States,"Montgomery, AL",Montgomery,AL,,https://web.archive.org/web/20210108014853/http://www.blackstoneandburke.com/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/the-blackstone-and-burke-center-for-law-and-liberty
atlas,BLUEGRASS INSTITUTE FOR PUBLIC POLICY SOLUTIONS,United States,"Lexington, KY",Lexington,KY,,https://web.archive.org/web/20210108014853/http://www.bipps.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/bluegrass-institute-for-public-policy-solutions1
atlas,BROAD + LIBERTY,United States,"Philadelphia, PA",Philadelphia,PA,,https://web.archive.org/web/20210108014853/http://www.broadandliberty.com/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/broad-liberty
atlas,CAESAR RODNEY INSTITUTE,United States,"Dover, DE",Dover,DE,,https://web.archive.org/web/20210108014853/http://www.caesarrodney.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/caesar-rodney-institute
atlas,CALIFORNIA POLICY CENTER,United States,"Tustin, CA",Tustin,CA,,https://web.archive.org/web/20210108014853/http://calpolicycenter.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/california-policy-center
atlas,CALVIN COOLIDGE PRESIDENTIAL FOUNDATION,United States,"Plymouth, VT",Plymouth,VT,,https://web.archive.org/web/20210108014853/http://coolidgefoundation.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/calvin-coolidge-presidential-foundation
atlas,CAPITAL RESEARCH CENTER,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.capitalresearch.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/capital-research-center
atlas,CARDINAL INSTITUTE FOR WEST VIRGINIA POLICY,United States,"Charleston, WV",Charleston,WV,,https://web.archive.org/web/20210108014853/http://cardinalinstitute.com/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/cardinal-institute-for-west-virginia-policy
atlas,CATO INSTITUTE,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.cato.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/cato-institute
atlas,CENTER FOR ECONOMIC ACCOUNTABILITY,United States,"Grosse Pointe Woods, MI",Grosse Pointe Woods,MI,,https://web.archive.org/web/20210108014853/http://www.economicaccountability.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/center-for-economic-accountability
atlas,CENTER FOR INDEPENDENT THOUGHT,United States,"Philadelphia, PA",Philadelphia,PA,,https://web.archive.org/web/20210108014853/http://www.centerforindependentthought.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/center-for-independent-thought
atlas,CENTER FOR PUBLIC CHOICE & MARKET PROCESS,United States,"Charleston, SC",Charleston,SC,,https://web.archive.org/web/20210108014853/http://sb.cofc.edu/centers/publicchoice/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/initiative-for-public-choice-market-process
atlas,CENTER FOR THE STUDY OF ECONOMIC LIBERTY,United States,"Tempe, AZ",Tempe,AZ,,https://web.archive.org/web/20210108014853/http://csel.asu.edu/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/center-for-the-study-of-economic-liberty-at-arizona-state-university
atlas,CENTER FOR THE STUDY OF LIBERTY,United States,"Carmel, IN",Carmel,IN,,https://web.archive.org/web/20210108014853/http://www.studyliberty.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/center-for-the-study-of-liberty
atlas,"CENTRO PARA RENOVACIÓN ECONÓMICA, CRECIMIENTO Y EXCELENCIA",United States,"San Juan, PR",San Juan,PR,,https://web.archive.org/web/20210108014853/http://www.centrocrece.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/centro-para-renovacion-economica-crecimiento-y-excelencia1
atlas,"CERTELL, INC.",United States,"Indianapolis, IN",Indianapolis,IN,,https://web.archive.org/web/20210108014853/http://www.certell.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/certell-inc
atlas,CHARTER CITIES INSTITUTE,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.chartercitiesinstitute.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/charter-cities-institute
atlas,CIVITAS INSTITUTE,United States,"Raleigh, NC",Raleigh,NC,,https://web.archive.org/web/20210108014853/http://www.nccivitas.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/civitas-institute
atlas,CLEMSON INSTITUTE FOR THE STUDY OF CAPITALISM,United States,"Clemson, SC",Clemson,SC,,https://web.archive.org/web/20210108014853/http://www.clemson.edu/capitalism/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/clemson-institute-for-the-study-of-capitalism
atlas,COMMON SENSE INSTITUTE,United States,"Greenwood Village, CO",Greenwood Village,CO,,https://web.archive.org/web/20210108014853/http://www.commonsenseinstituteco.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/common-sense-policy-roundtable-forum
atlas,COMMONWEALTH FOUNDATION,United States,"Harrisburg, PA",Harrisburg,PA,,https://web.archive.org/web/20210108014853/http://www.commonwealthfoundation.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/commonwealth-foundation
atlas,COMPACT FOR AMERICA EDUCATIONAL FOUNDATION,United States,"Houston, TX",Houston,TX,,https://web.archive.org/web/20210108014853/http://compactforamerica.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/compact-for-america-educational-foundation
atlas,COMPETITIVE ENTERPRISE INSTITUTE,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.cei.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/competitive-enterprise-institute
atlas,CONSCIOUS CAPITALISM,United States,"Warren, MI",Warren,MI,,https://web.archive.org/web/20210108014853/http://www.consciouscapitalism.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/conscious-capitalism
atlas,CONSUMER CHOICE CENTER,United States,"Arlington, VA",Arlington,VA,,https://web.archive.org/web/20210108014853/http://consumerchoicecenter.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/consumer-choice-center
atlas,ECONOMIC THINKING,United States,"Seattle, WA",Seattle,WA,,https://web.archive.org/web/20210108014853/http://www.economicthinking.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/economic-thinking
atlas,ED SNIDER CENTER FOR ENTERPRISE & MARKETS,United States,"College Park, MD",College Park,MD,,https://web.archive.org/web/20210108014853/http://www.rhsmith.umd.edu/centers-excellence/snider-center-enterprise-markets,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/ed-snider-center-for-enterprise-markets
atlas,EMPIRE CENTER FOR PUBLIC POLICY,United States,"Albany, NY",Albany,NY,,https://web.archive.org/web/20210108014853/http://www.empirecenter.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/empire-center-for-public-policy
atlas,ETHAN ALLEN INSTITUTE,United States,"Montpelier, VT",Montpelier,VT,,https://web.archive.org/web/20210108014853/http://www.ethanallen.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/ethan-allen-institute
atlas,EXCELINED,United States,"Tallahassee, FL",Tallahassee,FL,,https://web.archive.org/web/20210108014853/http://www.excelined.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/foundation-for-excellence-in-education
atlas,FEDERALIST SOCIETY FOR LAW AND PUBLIC POLICY STUDIES,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://fedsoc.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/federalist-society-for-law-and-public-policy-studies
atlas,FIRST LIBERTY INSTITUTE,United States,"Plano, TX",Plano,TX,,https://web.archive.org/web/20210108014853/http://firstliberty.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/first-liberty-institute
atlas,FOUNDATION FOR GOVERNMENT ACCOUNTABILITY,United States,"Naples, FL",Naples,FL,,https://web.archive.org/web/20210108014853/http://www.thefga.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/foundation-for-government-accountability
atlas,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION (FIRE),United States,"Philadelphia, PA",Philadelphia,PA,,https://web.archive.org/web/20210108014853/http://www.thefire.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/foundation-for-individual-rights-in-education-fire
atlas,FRANKLIN NEWS FOUNDATION,United States,"Chicago, IL",Chicago,IL,,https://web.archive.org/web/20210108014853/http://www.franklinnews.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/franklin-news
atlas,FREE THE PEOPLE FOUNDATION,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://freethepeople.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/free-the-people
atlas,FREE TO CHOOSE NETWORK,United States,"Erie, PA",Erie,PA,,https://web.archive.org/web/20210108014853/http://www.freetochoosemedia.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/free-to-choose-network
atlas,FREEDOM & VIRTUE INSTITUTE,United States,"Fort Myers, FL",Fort Myers,FL,,https://web.archive.org/web/20210108014853/http://www.fvinstitute.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/the-freedom-virtue-institute
atlas,GENETIC LITERACY PROJECT,United States,"Cincinnati, OH",Cincinnati,OH,,https://web.archive.org/web/20210108014853/http://www.geneticliteracyproject.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/genetic-literacy-project
atlas,GEORGIA CENTER FOR OPPORTUNITY,United States,"Peachtree Corners, GA",Peachtree Corners,GA,,https://web.archive.org/web/20210108014853/http://georgiaopportunity.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/georgia-center-for-opportunity
atlas,GEORGIA PUBLIC POLICY FOUNDATION,United States,"Atlanta, GA",Atlanta,GA,,https://web.archive.org/web/20210108014853/http://www.gppf.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/georgia-public-policy-foundation
atlas,GOLDWATER INSTITUTE,United States,"Phoenix, AZ",Phoenix,AZ,,https://web.archive.org/web/20210108014853/http://www.goldwaterinstitute.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/goldwater-institute
atlas,GRASSROOT INSTITUTE OF HAWAII,United States,"Honolulu, HI",Honolulu,HI,,https://web.archive.org/web/20210108014853/http://grassrootinstitute.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/grassroot-institute-of-hawaii
atlas,HERITAGE FOUNDATION,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.heritage.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/heritage-foundation
atlas,HOOVER INSTITUTION,United States,"Stanford, CA",Stanford,CA,,https://web.archive.org/web/20210108014853/http://www.hoover.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/hoover-institution
atlas,HUMAN RIGHTS FOUNDATION,United States,"New York, NY",New York,NY,,https://web.archive.org/web/20210108014853/http://www.hrf.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/human-rights-foundation
atlas,IDAHO FREEDOM FOUNDATION,United States,"Boise, ID",Boise,ID,,https://web.archive.org/web/20210108014853/http://www.idahofreedom.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/idaho-freedom-foundation
atlas,IDEAS BEYOND BORDERS,United States,"New York, NY",New York,NY,,https://web.archive.org/web/20210108014853/http://www.ideasbeyondborders.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/ideas-beyond-borders
atlas,ILLINOIS POLICY INSTITUTE,United States,"Chicago, IL",Chicago,IL,,https://web.archive.org/web/20210108014853/http://www.illinoispolicy.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/illinois-policy-institute
atlas,INDEPENDENCE INSTITUTE,United States,"Denver, CO",Denver,CO,,https://web.archive.org/web/20210108014853/http://www.i2i.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/independence-institute
atlas,INDEPENDENT INSTITUTE,United States,"Oakland, CA",Oakland,CA,,https://web.archive.org/web/20210108014853/http://www.independent.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/independent-institute
atlas,INDEPENDENT WOMEN'S FORUM,United States,"Winchester, VA",Winchester,VA,,https://web.archive.org/web/20210108014853/http://www.iwf.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/independent-womens-forum
atlas,INSTITUTE FOR FREE SPEECH,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://www.ifs.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/institute-for-free-speech
atlas,INSTITUTE FOR HUMANE STUDIES,United States,"Arlington, VA",Arlington,VA,,https://web.archive.org/web/20210108014853/http://www.theihs.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/institute-for-humane-studies
atlas,INSTITUTE FOR JUSTICE,United States,"Arlington, VA",Arlington,VA,,https://web.archive.org/web/20210108014853/http://www.ij.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/institute-for-justice
atlas,INSTITUTE FOR POLICY INNOVATION,United States,"Irving, TX",Irving,TX,,https://web.archive.org/web/20210108014853/http://www.ipi.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/institute-for-policy-innovation
atlas,INSTITUTE FOR PRINCIPLE STUDIES,United States,"Modesto, CA",Modesto,CA,,https://web.archive.org/web/20210108014853/http://principlestudies.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/institute-for-principle-studies
atlas,INTERCOLLEGIATE STUDIES INSTITUTE,United States,"Wilmington, DE",Wilmington,DE,,https://web.archive.org/web/20210108014853/http://home.isi.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/intercollegiate-studies-institute-inc
atlas,INTERNATIONAL CENTER FOR LAW & ECONOMICS,United States,"Portland, OR",Portland,OR,,https://web.archive.org/web/20210108014853/http://www.laweconcenter.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/international-center-for-law-economics
atlas,JAMES G. MARTIN CENTER FOR ACADEMIC RENEWAL,United States,"Raleigh, NC",Raleigh,NC,,https://web.archive.org/web/20210108014853/http://www.jamesgmartin.center/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/james-g.-martin-center-for-academic-renewal
atlas,JAMES MADISON INSTITUTE,United States,"Tallahassee, FL",Tallahassee,FL,,https://web.archive.org/web/20210108014853/http://www.jamesmadison.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/james-madison-institute
atlas,JOHN LOCKE FOUNDATION,United States,"Raleigh, NC",Raleigh,NC,,https://web.archive.org/web/20210108014853/http://www.johnlocke.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/john-locke-foundation
atlas,JUNIOR ACHIEVEMENT - ROCKY MOUNTAIN,United States,"Arvada, CO",Arvada,CO,,https://web.archive.org/web/20210108014853/http://www.jacolorado.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/junior-achievement-rocky-mountain
atlas,JUST ADD FIREWATER,United States,"Los Angles, CA",Los Angles,CA,,https://web.archive.org/web/20210108014853/http://www.justaddfirewater.com/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/just-add-firewater
atlas,KANSAS POLICY INSTITUTE,United States,"Witchita, KS",Witchita,KS,,https://web.archive.org/web/20210108014853/http://www.kansaspolicy.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/kansas-policy-institute
atlas,LADIES OF LIBERTY ALLIANCE,United States,"Washington, DC",Washington,DC,,https://web.archive.org/web/20210108014853/http://ladiesofliberty.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/ladies-of-liberty-alliance
atlas,LAW AND ECONOMICS CENTER AT GEORGE MASON UNIVERSITY,United States,"Arlington, VA",Arlington,VA,,https://web.archive.org/web/20210108014853/http://masonlec.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/law-and-economics-center-at-george-mason-university
atlas,LET GROW,United States,"New York, NY",New York,NY,,https://web.archive.org/web/20210108014853/http://www.letgrow.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/let-grow
atlas,LIBERTAS INSTITUTE,United States,"Lehi, UT",Lehi,UT,,https://web.archive.org/web/20210108014853/http://libertasutah.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/libertas-institute
atlas,LIBERTY FUND,United States,"Indianapolis, IN",Indianapolis,IN,,https://web.archive.org/web/20210108014853/http://www.libertyfund.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/liberty-fund
atlas,LIBERTY INTERNATIONAL,United States,"San Francisco, CA",San Francisco,CA,,https://web.archive.org/web/20210108014853/http://liberty-intl.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/international-society-for-individual-liberty
atlas,LINCOLN NETWORK,United States,"San Francisco, CA",San Francisco,CA,,https://web.archive.org/web/20210108014853/http://joinlincoln.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/lincoln-network
atlas,MACKINAC CENTER FOR PUBLIC POLICY,United States,"Midland, MI",Midland,MI,,https://web.archive.org/web/20210108014853/http://www.mackinac.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/mackinac-center-for-public-policy
atlas,MADISON LIBERTY INSTITUTE,United States,"Rexburg, ID",Rexburg,ID,,https://web.archive.org/web/20210108014853/http://www.madisonliberty.org/,https://web.archive.org/web/20210108014853/https://www.atlasnetwork.org/partners/global-directory/madison-liberty-institute
