member_category,state,org_name,org_name_raw,notes,website,phone,sourcewatch_page_url,sourcewatch_page_title,as_of,source_page,raw_text
affiliate,Alabama,Alabama Policy Institute,Alabama Policy Institute,,http://www.alabamapolicy.org,205-870-9900,https://www.sourcewatch.org/index.php?title=Alabama_Policy_Institute,Alabama Policy Institute,June 2024,SPN Members - SourceWatch.html,Alabama | Alabama Policy Institute | http://www.alabamapolicy.org | 205-870-9900
affiliate,Alaska,Alaska Policy Forum,Alaska Policy Forum,,http://www.alaskapolicyforum.org,907-334-5853,https://www.sourcewatch.org/index.php?title=Alaska_Policy_Forum,Alaska Policy Forum,June 2024,SPN Members - SourceWatch.html,Alaska | Alaska Policy Forum | http://www.alaskapolicyforum.org | 907-334-5853
affiliate,Arizona,Goldwater Institute,Goldwater Institute,,http://www.goldwaterinstitute.org,602-462-5000,https://www.sourcewatch.org/index.php?title=Goldwater_Institute,Goldwater Institute,June 2024,SPN Members - SourceWatch.html,Arizona | Goldwater Institute | http://www.goldwaterinstitute.org | 602-462-5000
affiliate,Arkansas,Opportunity Arkansas,Opportunity Arkansas,,https://www.opportunityarkansas.org/,501-500-1075,https://www.sourcewatch.org/index.php?title=Opportunity_Arkansas,Opportunity Arkansas,June 2024,SPN Members - SourceWatch.html,Arkansas | Opportunity Arkansas | https://www.opportunityarkansas.org/ | 501-500-1075
affiliate,Arkansas Policy Foundation,Arkansas Policy Foundation,http://www.arkansaspolicyfoundation.org,,http://www.arkansaspolicyfoundation.org,501-537-0825,https://www.sourcewatch.org/index.php?title=Arkansas_Policy_Foundation,Arkansas Policy Foundation,June 2024,SPN Members - SourceWatch.html,Arkansas Policy Foundation | http://www.arkansaspolicyfoundation.org | 501-537-0825
affiliate,California,California Policy Center,California Policy Center,,http://californiapolicycenter.org,714-573-2201,https://www.sourcewatch.org/index.php?title=California_Policy_Center,California Policy Center,June 2024,SPN Members - SourceWatch.html,California | California Policy Center | http://californiapolicycenter.org | 714-573-2201
affiliate,Pacific Research Institute,Pacific Research Institute,http://www.pacificresearch.org,,http://www.pacificresearch.org,415-989-0833,https://www.sourcewatch.org/index.php?title=Pacific_Research_Institute,Pacific Research Institute,June 2024,SPN Members - SourceWatch.html,Pacific Research Institute | http://www.pacificresearch.org | 415-989-0833
affiliate,Colorado,Independence Institute,Independence Institute,,http://www.i2i.org,303-279-6536,https://www.sourcewatch.org/index.php?title=Independence_Institute,Independence Institute,June 2024,SPN Members - SourceWatch.html,Colorado | Independence Institute | http://www.i2i.org | 303-279-6536
affiliate,Connecticut,Yankee Institute for Public Policy,Yankee Institute for Public Policy,,http://www.yankeeinstitute.org,860-282-0722,https://www.sourcewatch.org/index.php?title=Yankee_Institute_for_Public_Policy,Yankee Institute for Public Policy,June 2024,SPN Members - SourceWatch.html,Connecticut | Yankee Institute for Public Policy | http://www.yankeeinstitute.org | 860-282-0722
affiliate,Delaware,Caesar Rodney Institute,Caesar Rodney Institute,,http://www.caesarrodney.org,302-273-0080,https://www.sourcewatch.org/index.php?title=Caesar_Rodney_Institute,Caesar Rodney Institute,June 2024,SPN Members - SourceWatch.html,Delaware | Caesar Rodney Institute | http://www.caesarrodney.org | 302-273-0080
affiliate,Florida,Foundation for Government Accountability,Foundation for Government Accountability,,https://thefga.org,239-244-8808,https://www.sourcewatch.org/index.php?title=Foundation_for_Government_Accountability,Foundation for Government Accountability,June 2024,SPN Members - SourceWatch.html,Florida | Foundation for Government Accountability | https://thefga.org | 239-244-8808
affiliate,James Madison Institute,James Madison Institute,http://www.jamesmadison.org,,http://www.jamesmadison.org,866-340-3131,https://www.sourcewatch.org/index.php?title=James_Madison_Institute,James Madison Institute,June 2024,SPN Members - SourceWatch.html,James Madison Institute | http://www.jamesmadison.org | 866-340-3131
affiliate,Georgia,Georgia Public Policy Foundation,Georgia Public Policy Foundation,,http://www.georgiapolicy.org,404-256-4050,https://www.sourcewatch.org/index.php?title=Georgia_Public_Policy_Foundation,Georgia Public Policy Foundation,June 2024,SPN Members - SourceWatch.html,Georgia | Georgia Public Policy Foundation | http://www.georgiapolicy.org | 404-256-4050
affiliate,Georgia Center for Opportunity,Georgia Center for Opportunity,(formerly Georgia Family Council),,http://www.GeorgiaOpportunity.org,770-242-0001,https://www.sourcewatch.org/index.php?title=Georgia_Center_for_Opportunity,Georgia Center for Opportunity,June 2024,SPN Members - SourceWatch.html,Georgia Center for Opportunity | (formerly Georgia Family Council) | http://www.GeorgiaOpportunity.org | 770-242-0001
affiliate,Hawaii,Grassroot Institute of Hawaii,Grassroot Institute of Hawaii,,http://new.grassrootinstitute.org,808-591-9193,https://www.sourcewatch.org/index.php?title=Grassroot_Institute_of_Hawaii,Grassroot Institute of Hawaii,June 2024,SPN Members - SourceWatch.html,Hawaii | Grassroot Institute of Hawaii | http://new.grassrootinstitute.org | 808-591-9193
