member_category,org_name,sourcewatch_page_url,sourcewatch_page_title,sourcewatch_redlink,as_of,source_page,raw_text
associate,1851 Center for Constitutional Law,https://www.sourcewatch.org/index.php?title=1851_Center_for_Constitutional_Law,1851 Center for Constitutional Law,False,June 2024,SPN Members - SourceWatch.html,1851 Center for Constitutional Law
associate,50Can,https://www.sourcewatch.org/index.php?title=50Can&action=edit&redlink=1,50Can (page does not exist),True,June 2024,SPN Members - SourceWatch.html,50Can
associate,AZ Liberty Network,https://www.sourcewatch.org/index.php?title=AZ_Liberty_Network&action=edit&redlink=1,AZ Liberty Network (page does not exist),True,June 2024,SPN Members - SourceWatch.html,AZ Liberty Network
associate,Accuracy In Media,https://www.sourcewatch.org/index.php?title=Accuracy_In_Media,Accuracy In Media,False,June 2024,SPN Members - SourceWatch.html,Accuracy In Media
associate,Acton Institute,https://www.sourcewatch.org/index.php?title=Acton_Institute,Acton Institute,False,June 2024,SPN Members - SourceWatch.html,Acton Institute
associate,America First Policy Institute,https://www.sourcewatch.org/index.php?title=America_First_Policy_Institute,America First Policy Institute,False,June 2024,SPN Members - SourceWatch.html,America First Policy Institute
associate,America's Future,https://www.sourcewatch.org/index.php?title=America%27s_Future,America's Future,False,June 2024,SPN Members - SourceWatch.html,America's Future
associate,American Consumer Institute,https://www.sourcewatch.org/index.php?title=American_Consumer_Institute,American Consumer Institute,False,June 2024,SPN Members - SourceWatch.html,American Consumer Institute
associate,American Council of Trustees and Alumni,https://www.sourcewatch.org/index.php?title=American_Council_of_Trustees_and_Alumni,American Council of Trustees and Alumni,False,June 2024,SPN Members - SourceWatch.html,American Council of Trustees and Alumni
associate,American Enterprise Institute,https://www.sourcewatch.org/index.php?title=American_Enterprise_Institute,American Enterprise Institute,False,June 2024,SPN Members - SourceWatch.html,American Enterprise Institute
associate,American Institute for Economic Research,https://www.sourcewatch.org/index.php?title=American_Institute_for_Economic_Research,American Institute for Economic Research,False,June 2024,SPN Members - SourceWatch.html,American Institute for Economic Research
associate,American Juris Link,https://www.sourcewatch.org/index.php?title=American_Juris_Link,American Juris Link,False,June 2024,SPN Members - SourceWatch.html,American Juris Link
associate,American Legislative Exchange Council,https://www.sourcewatch.org/index.php?title=American_Legislative_Exchange_Council,American Legislative Exchange Council,False,June 2024,SPN Members - SourceWatch.html,American Legislative Exchange Council
associate,Americans for Fair Treatment,https://www.sourcewatch.org/index.php?title=Americans_for_Fair_Treatment,Americans for Fair Treatment,False,June 2024,SPN Members - SourceWatch.html,Americans for Fair Treatment
associate,Americans for Prosperity,https://www.sourcewatch.org/index.php?title=Americans_for_Prosperity,Americans for Prosperity,False,June 2024,SPN Members - SourceWatch.html,Americans for Prosperity
associate,Americans for Tax Reform Foundation,https://www.sourcewatch.org/index.php?title=Americans_for_Tax_Reform,Americans for Tax Reform,False,June 2024,SPN Members - SourceWatch.html,Americans for Tax Reform Foundation
associate,Archbridge Institute,https://www.sourcewatch.org/index.php?title=Archbridge_Institute,Archbridge Institute,False,June 2024,SPN Members - SourceWatch.html,Archbridge Institute
associate,Arizona Free Enterprise Club,https://www.sourcewatch.org/index.php?title=Arizona_Free_Enterprise_Club&action=edit&redlink=1,Arizona Free Enterprise Club (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Arizona Free Enterprise Club
associate,Association of American Educators Foundation,https://www.sourcewatch.org/index.php?title=Association_of_American_Educators_Foundation,Association of American Educators Foundation,False,June 2024,SPN Members - SourceWatch.html,Association of American Educators Foundation
associate,Atlas Network,https://www.sourcewatch.org/index.php?title=Atlas_Network,Atlas Network,False,June 2024,SPN Members - SourceWatch.html,Atlas Network
associate,Bill of Rights Institute,https://www.sourcewatch.org/index.php?title=Bill_of_Rights_Institute,Bill of Rights Institute,False,June 2024,SPN Members - SourceWatch.html,Bill of Rights Institute
associate,Capital Research Center,https://www.sourcewatch.org/index.php?title=Capital_Research_Center,Capital Research Center,False,June 2024,SPN Members - SourceWatch.html,Capital Research Center
associate,Cato Institute,https://www.sourcewatch.org/index.php?title=Cato_Institute,Cato Institute,False,June 2024,SPN Members - SourceWatch.html,Cato Institute
associate,Centennial Institute,https://www.sourcewatch.org/index.php?title=Centennial_Institute,Centennial Institute,False,June 2024,SPN Members - SourceWatch.html,Centennial Institute
associate,Center for Education Reform,https://www.sourcewatch.org/index.php?title=Center_for_Education_Reform,Center for Education Reform,False,June 2024,SPN Members - SourceWatch.html,Center for Education Reform
associate,Center for Growth and Opportunity at Utah State,https://www.sourcewatch.org/index.php?title=Center_for_Growth_and_Opportunity,Center for Growth and Opportunity,False,June 2024,SPN Members - SourceWatch.html,Center for Growth and Opportunity at Utah State
associate,Center for Independent Employees,https://www.sourcewatch.org/index.php?title=Center_for_Independent_Employees,Center for Independent Employees,False,June 2024,SPN Members - SourceWatch.html,Center for Independent Employees
associate,Center for Independent Thought,https://www.sourcewatch.org/index.php?title=Center_for_Independent_Thought&action=edit&redlink=1,Center for Independent Thought (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Center for Independent Thought
associate,Center for Individual Rights,https://www.sourcewatch.org/index.php?title=Center_for_Individual_Rights,Center for Individual Rights,False,June 2024,SPN Members - SourceWatch.html,Center for Individual Rights
associate,Center for Latino Leadership,https://www.sourcewatch.org/index.php?title=Center_for_Latino_Leadership&action=edit&redlink=1,Center for Latino Leadership (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Center for Latino Leadership
associate,Children's Scholarship Fund,https://www.sourcewatch.org/index.php?title=Children%27s_Scholarship_Fund,Children's Scholarship Fund,False,June 2024,SPN Members - SourceWatch.html,Children's Scholarship Fund
associate,Cicero Institute,https://www.sourcewatch.org/index.php?title=Cicero_Institute&action=edit&redlink=1,Cicero Institute (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Cicero Institute
associate,Citizens Against Government Waste,https://www.sourcewatch.org/index.php?title=Citizens_Against_Government_Waste,Citizens Against Government Waste,False,June 2024,SPN Members - SourceWatch.html,Citizens Against Government Waste
associate,Citizens' Council for Health Freedom,https://www.sourcewatch.org/index.php?title=Citizens%27_Council_for_Health_Freedom,Citizens' Council for Health Freedom,False,June 2024,SPN Members - SourceWatch.html,Citizens' Council for Health Freedom
associate,Common Sense Institute,https://www.sourcewatch.org/index.php?title=Common_Sense_Institute,Common Sense Institute,False,June 2024,SPN Members - SourceWatch.html,Common Sense Institute
associate,Competitive Enterprise Institute,https://www.sourcewatch.org/index.php?title=Competitive_Enterprise_Institute,Competitive Enterprise Institute,False,June 2024,SPN Members - SourceWatch.html,Competitive Enterprise Institute
associate,DonorsTrust,https://www.sourcewatch.org/index.php?title=DonorsTrust,DonorsTrust,False,June 2024,SPN Members - SourceWatch.html,DonorsTrust
associate,EdChoice,https://www.sourcewatch.org/index.php?title=EdChoice,EdChoice,False,June 2024,SPN Members - SourceWatch.html,EdChoice
associate,ExcelinEd,https://www.sourcewatch.org/index.php?title=ExcelinEd,ExcelinEd,False,June 2024,SPN Members - SourceWatch.html,ExcelinEd
associate,Federalist Society for Law and Public Policy Studies,https://www.sourcewatch.org/index.php?title=Federalist_Society_for_Law_and_Public_Policy_Studies,Federalist Society for Law and Public Policy Studies,False,June 2024,SPN Members - SourceWatch.html,Federalist Society for Law and Public Policy Studies
associate,Fiscal Alliance Foundation,https://www.sourcewatch.org/index.php?title=Fiscal_Alliance_Foundation&action=edit&redlink=1,Fiscal Alliance Foundation (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Fiscal Alliance Foundation
associate,Forge Leadership Network,https://www.sourcewatch.org/index.php?title=Forge_Leadership_Network,Forge Leadership Network,False,June 2024,SPN Members - SourceWatch.html,Forge Leadership Network
associate,Foundation for American Innovation,https://www.sourcewatch.org/index.php?title=Foundation_for_American_Innovation&action=edit&redlink=1,Foundation for American Innovation (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Foundation for American Innovation
associate,Foundation for Economic Education,https://www.sourcewatch.org/index.php?title=Foundation_for_Economic_Education,Foundation for Economic Education,False,June 2024,SPN Members - SourceWatch.html,Foundation for Economic Education
associate,Foundation for Individual Rights and Expression,https://www.sourcewatch.org/index.php?title=Foundation_for_Individual_Rights_and_Expression,Foundation for Individual Rights and Expression,False,June 2024,SPN Members - SourceWatch.html,Foundation for Individual Rights and Expression
associate,Franklin News Foundation,https://www.sourcewatch.org/index.php?title=Franklin_News_Foundation,Franklin News Foundation,False,June 2024,SPN Members - SourceWatch.html,Franklin News Foundation
associate,Free State Foundation,https://www.sourcewatch.org/index.php?title=Free_State_Foundation,Free State Foundation,False,June 2024,SPN Members - SourceWatch.html,Free State Foundation
associate,Free to Choose Network,https://www.sourcewatch.org/index.php?title=Free_to_Choose_Network,Free to Choose Network,False,June 2024,SPN Members - SourceWatch.html,Free to Choose Network
associate,Free the People,https://www.sourcewatch.org/index.php?title=Free_the_People,Free the People,False,June 2024,SPN Members - SourceWatch.html,Free the People
associate,Freedoms Foundation at Valley Forge,https://www.sourcewatch.org/index.php?title=Freedoms_Foundation_at_Valley_Forge,Freedoms Foundation at Valley Forge,False,June 2024,SPN Members - SourceWatch.html,Freedoms Foundation at Valley Forge
associate,Galen Institute,https://www.sourcewatch.org/index.php?title=Galen_Institute,Galen Institute,False,June 2024,SPN Members - SourceWatch.html,Galen Institute
associate,Heartland Institute,https://www.sourcewatch.org/index.php?title=Heartland_Institute,Heartland Institute,False,June 2024,SPN Members - SourceWatch.html,Heartland Institute
associate,Heritage Foundation,https://www.sourcewatch.org/index.php?title=Heritage_Foundation,Heritage Foundation,False,June 2024,SPN Members - SourceWatch.html,Heritage Foundation
associate,Independent Institute,https://www.sourcewatch.org/index.php?title=Independent_Institute,Independent Institute,False,June 2024,SPN Members - SourceWatch.html,Independent Institute
associate,Independent Women's Forum,https://www.sourcewatch.org/index.php?title=Independent_Women%27s_Forum,Independent Women's Forum,False,June 2024,SPN Members - SourceWatch.html,Independent Women's Forum
associate,Inspired Life,https://www.sourcewatch.org/index.php?title=Inspired_Life&action=edit&redlink=1,Inspired Life (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Inspired Life
associate,Institute for Family Studies,https://www.sourcewatch.org/index.php?title=Institute_for_Family_Studies,Institute for Family Studies,False,June 2024,SPN Members - SourceWatch.html,Institute for Family Studies
associate,Institute for Free Speech,https://www.sourcewatch.org/index.php?title=Institute_for_Free_Speech,Institute for Free Speech,False,June 2024,SPN Members - SourceWatch.html,Institute for Free Speech
associate,Institute for Humane Studies at George Mason University,https://www.sourcewatch.org/index.php?title=Institute_for_Humane_Studies,Institute for Humane Studies,False,June 2024,SPN Members - SourceWatch.html,Institute for Humane Studies at George Mason University
associate,Institute for Justice,https://www.sourcewatch.org/index.php?title=Institute_for_Justice,Institute for Justice,False,June 2024,SPN Members - SourceWatch.html,Institute for Justice
associate,Institute of Economic Affairs,https://www.sourcewatch.org/index.php?title=Institute_of_Economic_Affairs,Institute of Economic Affairs,False,June 2024,SPN Members - SourceWatch.html,Institute of Economic Affairs
associate,Instituto de Libertad Económica para Puerto Rico,https://www.sourcewatch.org/index.php?title=Instituto_de_Libertad_Econ%C3%B3mica_para_Puerto_Rico&action=edit&redlink=1,Instituto de Libertad Económica para Puerto Rico (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Instituto de Libertad Económica para Puerto Rico
associate,Jersey 1st,https://www.sourcewatch.org/index.php?title=Jersey_1st&action=edit&redlink=1,Jersey 1st (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Jersey 1st
associate,Jesse Helms Center,https://www.sourcewatch.org/index.php?title=Jesse_Helms_Center,Jesse Helms Center,False,June 2024,SPN Members - SourceWatch.html,Jesse Helms Center
associate,Judicial Watch Inc.,https://www.sourcewatch.org/index.php?title=Judicial_Watch,Judicial Watch,False,June 2024,SPN Members - SourceWatch.html,Judicial Watch Inc.
associate,Leadership Institute,https://www.sourcewatch.org/index.php?title=Leadership_Institute,Leadership Institute,False,June 2024,SPN Members - SourceWatch.html,Leadership Institute
