"Notice
Date","Effective
Date","Received
Date",Company,City,County,"No. Of
Employees",Layoff/Closure Type
06/09/2020,06/07/2020,07/01/2020,Bay Club Santa Monica,Santa Monica,Los Angeles County,82,Layoff Permanent
06/19/2020,08/21/2020,07/01/2020,"Weber Metals, Inc",Paramount,Los Angeles County,169,Layoff Permanent
06/09/2020,06/07/2020,07/01/2020,Bay Club Rolling Hills,Rolling Hills Estates,Los Angeles County,64,Layoff Permanent
06/09/2020,06/07/2020,07/01/2020,Bay Club Redondo Beach,Redondo Beach,Los Angeles County,102,Layoff Permanent
06/09/2020,06/07/2020,07/01/2020,Bay Club Ross Valley,Kentfield,Marin County,51,Layoff Permanent
06/09/2020,06/07/2020,07/01/2020,StoneTree Golf Club,Novato,Marin County,32,Layoff Permanent
06/23/2020,06/23/2020,07/01/2020,The Freeman Company LLC,Anaheim,Orange County,29,Layoff Permanent
06/18/2020,03/20/2020,07/01/2020,Hyatt Regency Sacramento,Sacramento,Sacramento County,203,Layoff Permanent
06/18/2020,06/17/2020,07/01/2020,"Granite Summit, Inc",Running Springs,San Bernardino County,60,Layoff Type Unknown
06/18/2020,06/17/2020,07/01/2020,Pali Camp,Running Springs,San Bernardino County,71,Layoff Type Unknown
06/18/2020,06/17/2020,07/01/2020,"Pali Institute, Inc",Running Springs,San Bernardino County,35,Layoff Type Unknown
06/18/2020,06/17/2020,07/01/2020,"Pali Mountain Conference Center, Inc",Running Springs,San Bernardino County,17,Layoff Type Unknown
06/09/2020,06/07/2020,07/01/2020,Bay Club San Francisco,San Francisco,San Francisco County,146,Layoff Permanent
06/09/2020,06/07/2020,07/01/2020,Bay Club SF Tennis,San Francisco,San Francisco County,64,Layoff Permanent
06/09/2020,06/07/2020,07/01/2020,Bay Club Redwood Shores,Redwood City,San Mateo County,298,Layoff Permanent
06/09/2020,06/07/2020,07/01/2020,Bay Club Santa Clara,Santa Clara,Santa Clara County,182,Layoff Permanent
06/16/2020,06/22/2020,07/01/2020,Eaton Corporation,Camarillo,Ventura County,61,Layoff Temporary
06/26/2020,08/28/2020,07/01/2020,Boeing Edwards AFB RIF,Edwards,Kern County,6,Layoff Permanent
06/26/2020,08/28/2020,07/01/2020,Boeing El Segundo RIF,El Segundo,Los Angeles County,3,Layoff Permanent
06/26/2020,08/28/2020,07/01/2020,Boeing Long Beach RIF,Long Beach,Los Angeles County,19,Layoff Permanent
06/26/2020,08/28/2020,07/01/2020,Boeing Huntington Beach RIF,Huntington Beach,Orange County,24,Layoff Permanent
06/25/2020,06/30/2020,07/01/2020,Macy's,Modesto,Stanislaus County,75,Layoff Permanent
06/09/2020,06/07/2020,07/02/2020,Bay Club Walnut Creek,Walnut Creek,Contra Costa County,291,Layoff Permanent
06/22/2020,03/23/2020,07/02/2020,Swisstex California Inc,Los Angeles,Los Angeles County,9,Layoff Temporary
04/15/2020,03/26/2020,07/02/2020,Adecco at Air Fayre USA inc.,Gardena,Los Angeles County,310,Layoff Temporary
04/15/2020,03/30/2020,07/02/2020,"Western Dental Services, Inc.",Orange,Orange County,504,Layoff Temporary
06/09/2020,06/07/2020,07/02/2020,Bay Club at the Gateway,San Francisco,San Francisco County,62,Layoff Permanent
06/17/2020,07/01/2020,07/02/2020,THE TECH INTERACTIVE,San Jose,Santa Clara County,64,Layoff Type Unknown
04/20/2020,04/17/2020,07/02/2020,"Guitar Center, Inc.",Thousand Oaks,Ventura County,55,Layoff Temporary
04/15/2020,03/16/2020,07/02/2020,BON APPETIT Management Company,San Francisco,San Francisco County,"1,529",Layoff Temporary
